0 External ID (must be unique),1 Title,2 Description,,3 Language (BCP47),,4 URL,Youtube,5 Cover Image,6 License,7 Publisher,8 Source,additionalInformation,test,staging,prod
9448d0d4-5ee7-11ea-bc55-0242ac130003,ខែក្តៅ,,11,sgn-kh,"<iframe src=""https://gdl.h5p.com/content/1290945242443767037/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",https://gdl.h5p.com/content/1290945242443767037,https://youtu.be/DHxhZ0G8ou0,https://freelearning.io/wp-content/uploads/2020/02/Skjermbilde-2020-02-29-kl.-13.17.32.jpg,CC-BY-4.0,All Children Reading - Cambodia,Asia Foundation ,"This book is from Komar Rien Komar Cheh, the national early grade learning program of the Ministry of Education Youth and Sport in Cambodia.",,,
9448d192-5ee7-11ea-bc55-0242ac130003,សួនកុមារ,ពួកគេចង់ទៅសួនកុមារ តើពួកគេទៅយ៉ាងម៉េចទៅ?,12,sgn-kh,"<iframe src=""https://gdl.h5p.com/content/1290945243599687097/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",https://gdl.h5p.com/content/1290945243599687097,https://youtu.be/xL5TWzvvS3k,https://freelearning.io/wp-content/uploads/2020/02/Skjermbilde-2020-02-29-kl.-13.10.52.jpg,CC-BY-4.0,All Children Reading - Cambodia,Asia Foundation ,"This book is from Komar Rien Komar Cheh, the national early grade learning program of the Ministry of Education Youth and Sport in Cambodia.",,,
9448d250-5ee7-11ea-bc55-0242ac130003,លេងបិទពួន,ដូដូលេងបិទពួនជាមួយម៉ែ តើដូដូឃើញអ្វីខ្លះ?,13,sgn-kh,"<iframe src=""https://gdl.h5p.com/content/1290945244233761107/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",https://gdl.h5p.com/content/1290945244233761107,https://youtu.be/GoQQa0sgNqM,https://freelearning.io/wp-content/uploads/2020/02/Skjermbilde-2020-02-29-kl.-13.14.00.jpg,CC-BY-4.0,All Children Reading - Cambodia,Asia Foundation ,"This book is from Komar Rien Komar Cheh, the national early grade learning program of the Ministry of Education Youth and Sport in Cambodia.",,,
9448d304-5ee7-11ea-bc55-0242ac130003,លលក,,14,sgn-kh,"<iframe src=""https://gdl.h5p.com/content/1290945244988682817/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",https://gdl.h5p.com/content/1290945244988682817,https://youtu.be/3opEzSZWUjo,https://freelearning.io/wp-content/uploads/2020/02/Skjermbilde-2020-02-29-kl.-13.13.42.jpg,CC-BY-4.0,All Children Reading - Cambodia,Asia Foundation ,"This book is from Komar Rien Komar Cheh, the national early grade learning program of the Ministry of Education Youth and Sport in Cambodia.",,,
9448d3cc-5ee7-11ea-bc55-0242ac130003,រមៀល,,15,sgn-kh,"<iframe src=""https://gdl.h5p.com/content/1290945246578006037/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",https://gdl.h5p.com/content/1290945246578006037,https://youtu.be/l7ay0oi9WW4,https://freelearning.io/wp-content/uploads/2020/02/Skjermbilde-2020-02-29-kl.-13.15.01.jpg,CC-BY-4.0,All Children Reading - Cambodia,Asia Foundation ,"This book is from Komar Rien Komar Cheh, the national early grade learning program of the Ministry of Education Youth and Sport in Cambodia.",,,
9448d57a-5ee7-11ea-bc55-0242ac130003,ត់! រត់! រត់!,,16,sgn-kh,"<iframe src=""https://gdl.h5p.com/content/1290945247450645717/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",https://gdl.h5p.com/content/1290945247450645717,https://youtu.be/JqmvB8pz_ts,https://freelearning.io/wp-content/uploads/2020/02/Skjermbilde-2020-02-29-kl.-13.24.17.jpg,CC-BY-4.0,All Children Reading - Cambodia,Asia Foundation ,"This book is from Komar Rien Komar Cheh, the national early grade learning program of the Ministry of Education Youth and Sport in Cambodia.",,,
9448d64c-5ee7-11ea-bc55-0242ac130003,យើងទៅលេងរៀមរាប,,17,sgn-kh,"<iframe src=""https://gdl.h5p.com/content/1290945247938388687/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",https://gdl.h5p.com/content/1290945247938388687,https://youtu.be/oeosS3D2kOw,https://freelearning.io/wp-content/uploads/2020/02/Skjermbilde-2020-02-29-kl.-13.25.04.jpg,CC-BY-4.0,All Children Reading - Cambodia,Asia Foundation ,"This book is from Komar Rien Komar Cheh, the national early grade learning program of the Ministry of Education Youth and Sport in Cambodia.",,,
9448d714-5ee7-11ea-bc55-0242ac130003,យើងទៅជួយ,,18,sgn-kh,"<iframe src=""https://gdl.h5p.com/content/1290945248473199697/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",https://gdl.h5p.com/content/1290945248473199697,https://youtu.be/1dOk1hlx7UM,https://freelearning.io/wp-content/uploads/2020/02/Skjermbilde-2020-02-29-kl.-13.25.51.jpg,CC-BY-4.0,All Children Reading - Cambodia,Asia Foundation ,"This book is from Komar Rien Komar Cheh, the national early grade learning program of the Ministry of Education Youth and Sport in Cambodia.",,,
9448d7dc-5ee7-11ea-bc55-0242ac130003,មេអំបៅ និងកេងកង,,19,sgn-kh,"<iframe src=""https://gdl.h5p.com/content/1290945736256507297/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",https://gdl.h5p.com/content/1290945736256507297,https://youtu.be/0rkmkkFs12s,https://freelearning.io/wp-content/uploads/2020/02/Skjermbilde-2020-02-29-kl.-13.26.34.jpg,CC-BY-4.0,All Children Reading - Cambodia,Asia Foundation ,"This book is from Komar Rien Komar Cheh, the national early grade learning program of the Ministry of Education Youth and Sport in Cambodia.",,,
9448d89a-5ee7-11ea-bc55-0242ac130003,ពេលវេលារបស់មូមូ,,20,sgn-kh,"<iframe src=""https://gdl.h5p.com/content/1290945737004462767/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",https://gdl.h5p.com/content/1290945737004462767,https://youtu.be/VZIetUb_3pE,https://freelearning.io/wp-content/uploads/2020/02/Skjermbilde-2020-02-29-kl.-13.27.13.jpg,CC-BY-4.0,All Children Reading - Cambodia,Asia Foundation ,"This book is from Komar Rien Komar Cheh, the national early grade learning program of the Ministry of Education Youth and Sport in Cambodia.",,,
9448dac0-5ee7-11ea-bc55-0242ac130003,ពួកគេទៅវាល,,21,sgn-kh,"<iframe src=""https://gdl.h5p.com/content/1290945737923793117/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",https://gdl.h5p.com/content/1290945737923793117,https://youtu.be/nMKLrn9GexI,https://freelearning.io/wp-content/uploads/2020/03/Skjermbilde-2020-03-01-kl.-10.44.57.jpg,CC-BY-4.0,All Children Reading - Cambodia,Asia Foundation ,"This book is from Komar Rien Komar Cheh, the national early grade learning program of the Ministry of Education Youth and Sport in Cambodia.",,,
9448db92-5ee7-11ea-bc55-0242ac130003,ពួកគេចេះរាំ,,22,sgn-kh,"<iframe src=""https://gdl.h5p.com/content/1290945738835830917/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",https://gdl.h5p.com/content/1290945738835830917,https://youtu.be/gfFztnSF0p8,https://freelearning.io/wp-content/uploads/2020/03/Skjermbilde-2020-03-01-kl.-10.45.43.jpg,CC-BY-4.0,All Children Reading - Cambodia,Asia Foundation ,"This book is from Komar Rien Komar Cheh, the national early grade learning program of the Ministry of Education Youth and Sport in Cambodia.",,,
9448dc64-5ee7-11ea-bc55-0242ac130003,បូបូរៀបចំទៅសាលារៀន,,23,sgn-kh,"<iframe src=""https://gdl.h5p.com/content/1290945739515570417/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",https://gdl.h5p.com/content/1290945739515570417,https://youtu.be/2cAxF8g2XQE,https://freelearning.io/wp-content/uploads/2020/03/Skjermbilde-2020-03-01-kl.-10.46.25.jpg,CC-BY-4.0,All Children Reading - Cambodia,Asia Foundation ,"This book is from Komar Rien Komar Cheh, the national early grade learning program of the Ministry of Education Youth and Sport in Cambodia.",,,
9448dd2c-5ee7-11ea-bc55-0242ac130003,១ ២ ៣,,24,sgn-kh,"<iframe src=""https://gdl.h5p.com/content/1290945740164237697/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",https://gdl.h5p.com/content/1290945740164237697,https://youtu.be/8930cbZ_1uY,https://freelearning.io/wp-content/uploads/2020/03/Skjermbilde-2020-03-01-kl.-10.47.43.jpg,CC-BY-4.0,All Children Reading - Cambodia,Asia Foundation ,"This book is from Komar Rien Komar Cheh, the national early grade learning program of the Ministry of Education Youth and Sport in Cambodia.",,,
9448ddf4-5ee7-11ea-bc55-0242ac130003,កូនចេះ,,25,sgn-kh,"<iframe src=""https://gdl.h5p.com/content/1290945741137912117/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",https://gdl.h5p.com/content/1290945741137912117,https://youtu.be/zAqUR45UzUU,https://freelearning.io/wp-content/uploads/2020/03/Skjermbilde-2020-03-01-kl.-10.48.16.jpg,CC-BY-4.0,All Children Reading - Cambodia,Asia Foundation ,"This book is from Komar Rien Komar Cheh, the national early grade learning program of the Ministry of Education Youth and Sport in Cambodia.",,,
9448e074-5ee7-11ea-bc55-0242ac130003,ចេះ មិនចេះ,,26,sgn-kh,"<iframe src=""https://gdl.h5p.com/content/1290945742027079687/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",https://gdl.h5p.com/content/1290945742027079687,https://youtu.be/TWuhFZF4zDY,https://freelearning.io/wp-content/uploads/2020/03/Skjermbilde-2020-03-01-kl.-10.56.41.jpg,CC-BY-4.0,All Children Reading - Cambodia,Asia Foundation ,"This book is from Komar Rien Komar Cheh, the national early grade learning program of the Ministry of Education Youth and Sport in Cambodia.",,,
9448e164-5ee7-11ea-bc55-0242ac130003,ចំណី,,27,sgn-kh,"<iframe src=""https://gdl.h5p.com/content/1290945742750257197/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",https://gdl.h5p.com/content/1290945742750257197,https://youtu.be/2JlQ7mVnIWE,https://freelearning.io/wp-content/uploads/2020/03/Skjermbilde-2020-03-01-kl.-10.57.20.jpg,CC-BY-4.0,All Children Reading - Cambodia,Asia Foundation ,"This book is from Komar Rien Komar Cheh, the national early grade learning program of the Ministry of Education Youth and Sport in Cambodia.",,,
9448e22c-5ee7-11ea-bc55-0242ac130003,ដើរលេងតាមសួន,,28,sgn-kh,"<iframe src=""https://gdl.h5p.com/content/1290945743369247137/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",https://gdl.h5p.com/content/1290945743369247137,https://youtu.be/lfj8XCAK8QM,https://freelearning.io/wp-content/uploads/2020/03/Skjermbilde-2020-03-01-kl.-10.58.01.jpg,CC-BY-4.0,All Children Reading - Cambodia,Asia Foundation ,"This book is from Komar Rien Komar Cheh, the national early grade learning program of the Ministry of Education Youth and Sport in Cambodia.",,,
9448e2f4-5ee7-11ea-bc55-0242ac130003,ណាវី និងបូរ៉ា,,29,sgn-kh,"<iframe src=""https://gdl.h5p.com/content/1290945744027526867/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",https://gdl.h5p.com/content/1290945744027526867,https://youtu.be/2eE8JtwcsBM,https://freelearning.io/wp-content/uploads/2020/03/Skjermbilde-2020-03-01-kl.-10.58.35.jpg,CC-BY-4.0,All Children Reading - Cambodia,Asia Foundation ,"This book is from Komar Rien Komar Cheh, the national early grade learning program of the Ministry of Education Youth and Sport in Cambodia.",,,
9448e4ca-5ee7-11ea-bc55-0242ac130003,តុក តុក តុក!,,30,sgn-kh,"<iframe src=""https://gdl.h5p.com/content/1290945744597892937/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",https://gdl.h5p.com/content/1290945744597892937,https://youtu.be/66mJ7jbcBk4,https://freelearning.io/wp-content/uploads/2020/03/Skjermbilde-2020-03-01-kl.-10.59.10.jpg,CC-BY-4.0,All Children Reading - Cambodia,Asia Foundation ,"This book is from Komar Rien Komar Cheh, the national early grade learning program of the Ministry of Education Youth and Sport in Cambodia.",,,
